place,movie_title,rating,year,star_cast
222,Przed zachodem słońca,8.033325472721764,2004,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy"
223,Czarnoksiężnik z Oz,8.030305066354938,1939,"Victor Fleming (dir.), Judy Garland, Frank Morgan"
224,Wszystko za życie,8.030083848484592,2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn"
225,Najlepsze lata naszego życia,8.028803218238425,1946,"William Wyler (dir.), Myrna Loy, Dana Andrews"
226,Egzorcysta,8.026739153053821,1973,"William Friedkin (dir.), Ellen Burstyn, Max von Sydow"
227,Dzień Świstaka,8.025980198707781,1993,"Harold Ramis (dir.), Bill Murray, Andie MacDowell"
228,Iniemamocni,8.02524231532877,2004,"Brad Bird (dir.), Craig T. Nelson, Samuel L. Jackson"
229,Być albo nie być,8.025109148618565,1942,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny"
230,Nienawiść,8.025027974678896,1995,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé"
231,Piraci z Karaibów: Klątwa ''Czarnej Perły'',8.024332097605255,2003,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush"
232,Mój przyjaciel Hachiko,8.022243529266895,2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen"
233,Grona gniewu,8.022161492624996,1940,"John Ford (dir.), Henry Fonda, Jane Darwell"
234,Bitwa o Algier,8.022078261447266,1966,"Gillo Pontecorvo (dir.), Brahim Hadjadj, Jean Martin"
235,Droga do miasta,8.021065524401175,1955,"Satyajit Ray (dir.), Kanu Bannerjee, Karuna Bannerjee"
236,Jai Bhim,8.019751727253139,2021,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
237,Amores perros,8.019275317902414,2000,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
238,Mój ojciec i mój syn,8.019187674830928,2005,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
239,Rebeka,8.018033150164053,1940,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
240,Służąca,8.018017041718775,2016,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
241,Nieugięty Luke,8.017242283574172,1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
242,Dźwięki muzyki,8.013446889017576,1965,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
243,Czterysta batów,8.012048090734131,1959,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
244,Ich noce,8.012002711100486,1934,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
245,Persona,8.00934653986641,1966,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
246,Żywot Briana,8.008058488837635,1979,"Terry Jones (dir.), Graham Chapman, John Cleese"
247,Stalowy gigant,8.006779491768578,1999,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
248,Służące,8.00605973340087,2011,"Tate Taylor (dir.), Viola Davis, Emma Stone"
249,Aladyn,8.003665815785052,1992,"Ron Clements (dir.), Scott Weinger, Robin Williams"
250,Tańczący z wilkami,8.002080442041278,1990,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
